article_id,quality_choice,grade,material,finish,material_description,thickness_mm,width_mm,description,weight_kg,quantity,reserved,rp02,rm,ag,ai,data_source
23044291,,,S235JR,,not Oiled,,,,10389,22.0,NOT RESERVED,,,,,supplier_data2
23046841,,,S235JR,,Oiled,,,,18501,94.0,VANILLA,,,,,supplier_data2
23041008,,,S235JR,,Oiled,,,,14277,33.0,VANILLA,,,,,supplier_data2
23041560,,,S235JR,,Oiled,,,,24951,98.0,NOT RESERVED,,,,,supplier_data2
23043638,,,HDC,,Painted,,,,15121,12.0,NOT RESERVED,,,,,supplier_data2
23041902,,,DX51D +AZ150,,Oiled,,,,17933,72.0,NOT RESERVED,,,,,supplier_data2
23049627,,,DX51D +AZ150,,not Oiled,,,,20304,82.0,VANILLA,,,,,supplier_data2
23044610,,,HDC,,not Oiled,,,,20027,96.0,VANILLA,,,,,supplier_data2
23049106,,,DX51D +Z140,,not Oiled,,,,23131,34.0,NOT RESERVED,,,,,supplier_data2
23048028,,,S235JR,,Painted,,,,6113,29.0,NOT RESERVED,,,,,supplier_data2
23045099,,,DX51D +AZ150,,Oiled,,,,9037,78.0,NOT RESERVED,,,,,supplier_data2
23046741,,,S235JR,,not Oiled,,,,24331,31.0,VANILLA,,,,,supplier_data2
23047239,,,DX51D +Z140,,Painted,,,,11898,21.0,VANILLA,,,,,supplier_data2
23049907,,,DX51D +AZ150,,Oiled,,,,21609,33.0,NOT RESERVED,,,,,supplier_data2
23044447,,,S235JR,,Painted,,,,19165,67.0,VANILLA,,,,,supplier_data2
23047489,,,HDC,,not Oiled,,,,18716,64.0,NOT RESERVED,,,,,supplier_data2
23040273,,,S235JR,,not Oiled,,,,7025,33.0,VANILLA,,,,,supplier_data2
23040905,,,DX51D +Z140,,Painted,,,,14796,76.0,VANILLA,,,,,supplier_data2
23043967,,,DX51D +Z140,,not Oiled,,,,21149,62.0,NOT RESERVED,,,,,supplier_data2
23045724,,,S235JR,,Painted,,,,16393,68.0,VANILLA,,,,,supplier_data2
23049672,,,HDC,,not Oiled,,,,21321,93.0,VANILLA,,,,,supplier_data2
23049617,,,DX51D +AZ150,,Oiled,,,,22395,62.0,NOT RESERVED,,,,,supplier_data2
23043836,,,DX51D +AZ150,,Painted,,,,9355,64.0,VANILLA,,,,,supplier_data2
23049333,,,S235JR,,Painted,,,,10143,78.0,NOT RESERVED,,,,,supplier_data2
23041897,,,HDC,,Oiled,,,,17001,62.0,VANILLA,,,,,supplier_data2
23040756,,,S235JR,,not Oiled,,,,6034,50.0,NOT RESERVED,,,,,supplier_data2
23041086,,,DX51D +AZ150,,Oiled,,,,15230,95.0,NOT RESERVED,,,,,supplier_data2
23047543,,,DX51D +Z140,,not Oiled,,,,9940,96.0,NOT RESERVED,,,,,supplier_data2
23045292,,,DX51D +AZ150,,Painted,,,,23884,51.0,NOT RESERVED,,,,,supplier_data2
23047408,,,S235JR,,Oiled,,,,5302,12.0,VANILLA,,,,,supplier_data2
23043348,,,DX51D +Z140,,Oiled,,,,16927,69.0,VANILLA,,,,,supplier_data2
23043386,,,HDC,,not Oiled,,,,11191,75.0,VANILLA,,,,,supplier_data2
